1,2,3,4,5,6,7,8,9,10
200907_s_at,6,8,7,6,3,4,6,7,6,8
200908_s_at,7,1,2,8,5,1,1,8,8,6
200909_s_at,3,6,1,7,7,10,10,2,7,5
200910_at,4,5,5,10,10,9,2,10,3,7
200911_s_at,7,1,7,6,5,1,1,8,6,6
200912_s_at,6,8,7,6,10,4,6,10,6,4
200913_at,4,5,10,10,10,9,2,10,3,7
200914_x_at,5,4,10,9,3,8,3,7,9,8
200915_x_at,4,5,5,10,8,9,2,9,3,7
200916_at,5,1,4,9,3,8,1,7,8,8
200917_s_at,6,4,10,9,3,4,3,7,9,8
200918_s_at,4,5,5,10,10,9,2,10,3,7
200919_at,5,4,4,9,3,8,3,7,9,8
200920_s_at,4,5,5,10,2,9,2,3,3,7
200921_s_at,5,4,4,9,3,8,3,7,9,8
200922_at,3,6,1,7,7,10,10,2,7,5
200923_at,4,5,5,10,10,9,2,10,3,7
200924_s_at,6,8,7,6,5,4,6,8,6,6
200925_at,5,1,4,8,3,8,1,7,8,8
200926_at,6,8,7,6,10,4,6,10,6,4
200927_s_at,5,1,4,8,5,8,1,8,8,6
200928_s_at,7,6,2,7,7,1,10,2,7,5
200929_at,7,1,2,8,5,1,1,8,8,6
200930_s_at,6,8,7,6,10,4,6,10,6,4
200931_s_at,6,4,10,10,3,4,3,7,3,8
200932_s_at,3,8,7,6,7,10,6,2,6,4
200933_x_at,5,4,4,9,3,8,3,7,9,8
200934_at,6,4,10,9,3,4,3,7,9,8
200935_at,3,7,1,2,7,10,8,2,1,5
200936_at,6,8,7,6,10,4,6,10,6,4
200937_s_at,5,1,4,8,3,8,1,7,8,8
200938_s_at,6,8,7,6,3,4,6,7,6,4
200939_s_at,4,5,5,10,10,9,2,10,3,7
200940_s_at,6,8,7,6,10,4,6,10,6,4
200941_at,5,4,4,9,3,8,3,7,9,8
200942_s_at,3,7,1,2,7,10,8,2,1,5
200943_at,7,6,2,7,5,1,10,8,7,6
200944_s_at,5,4,4,9,3,8,3,7,9,8
200945_s_at,5,4,4,9,3,8,3,7,9,8
200946_x_at,7,6,2,7,7,1,10,2,7,5
200947_s_at,5,4,4,9,3,8,1,7,8,8
200948_at,5,4,10,9,3,8,3,7,9,8
200949_x_at,6,8,7,6,10,4,6,10,6,4
200950_at,7,6,2,7,7,1,10,2,7,5
200951_s_at,7,8,7,6,5,1,6,8,6,4
200952_s_at,7,1,2,8,5,1,1,8,7,6
200953_s_at,6,8,7,6,10,4,6,10,6,4
200954_at,3,6,1,7,7,10,10,2,1,5
200955_at,6,8,7,6,10,4,6,10,6,4
200956_s_at,6,8,5,10,10,4,6,10,3,4
200957_s_at,3,8,7,2,10,10,6,10,6,4
200958_s_at,4,5,5,10,10,9,2,10,3,7
200959_at,3,7,1,2,7,10,8,2,1,5
200960_x_at,6,8,7,6,5,4,6,8,6,4
200961_at,5,4,4,9,3,8,3,7,9,8
200962_at,7,1,2,8,5,1,1,8,8,6
200963_x_at,7,1,2,8,5,1,1,8,8,6
200964_at,7,6,2,7,5,1,10,8,7,6
200965_s_at,7,1,2,8,5,1,1,8,8,6
200966_x_at,6,8,10,6,10,4,6,10,6,4
200967_at,6,8,7,6,10,4,6,10,6,4
200968_s_at,7,6,2,7,5,1,10,8,7,6
200969_at,5,1,4,8,5,8,1,8,8,6
200970_s_at,7,6,2,7,5,1,10,8,7,6
200971_s_at,4,5,5,10,10,9,2,10,3,7
200972_at,7,8,7,6,5,1,6,8,6,6
200973_s_at,7,1,2,8,5,1,1,8,8,6
200974_at,3,7,1,2,7,10,8,2,1,5
200975_at,6,5,10,10,10,4,2,10,3,7
200976_s_at,5,4,4,9,3,8,3,7,9,8
200977_s_at,7,6,2,7,5,1,10,8,7,6
200978_at,5,1,7,6,5,8,1,8,6,6
200979_at,6,5,10,10,10,4,2,10,3,7
200980_s_at,5,4,4,9,3,8,3,7,9,8
200981_x_at,6,8,7,6,10,4,6,10,6,4
200982_s_at,4,5,5,10,10,9,2,10,3,7
200983_x_at,3,6,1,7,7,10,10,2,7,5
200984_s_at,3,7,1,2,7,10,8,2,1,5
200985_s_at,6,8,7,6,3,4,6,7,6,4
200986_at,6,8,7,6,10,4,6,10,6,4
200987_x_at,7,6,2,7,5,1,10,8,7,6
200988_s_at,7,8,7,6,7,1,6,2,6,4
200989_at,6,8,7,6,5,4,6,8,6,4
200990_at,5,1,4,8,5,8,1,8,8,6
200991_s_at,7,6,2,7,5,1,10,8,7,6
200992_at,5,4,4,6,3,8,3,7,6,8
200993_at,7,1,7,6,5,1,1,8,6,6
200994_at,7,1,2,8,5,1,1,8,8,6
