1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
200791_s_at,1,2,5,5,2,1,2,4,1,2,5,5,3,1,1,3,2
200792_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200793_s_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200794_x_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200795_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200796_s_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200797_s_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200798_x_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200799_at,1,2,5,1,1,1,2,4,4,2,1,3,3,1,1,3,2
200800_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200801_x_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200802_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200803_s_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200804_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200805_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200806_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200807_s_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200808_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200809_x_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200810_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200811_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200812_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200813_s_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200814_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
